"HGNC_Symbol","logFC","raw_P.value","adj_P.value"
"WDFY3",0.859318772530315,0.00564385388632824,0.577471389453634
"ACVRL1",-0.724277808652577,0.00566077774141978,0.577471389453634
"JPH4",-0.774604509259438,0.0058303108720431,0.577471389453634
"HIVEP1",0.472939079212609,0.0059793024386708,0.577471389453634
"SLC17A9",-0.440686957509773,0.0060485093422292,0.577471389453634
"KPNA2",-0.352549915102252,0.00605489969374666,0.577471389453634
"HAT1",0.35935749930021,0.00606440756137424,0.577471389453634
"MLC1",-0.443914115457053,0.00607895667750807,0.577471389453634
"TVP23B",0.390964596817018,0.00615819599620944,0.577471389453634
"ZNF396",0.697224106873665,0.00621191200572589,0.577471389453634
"FAR2",0.615555668531477,0.00623257016110005,0.577471389453634
"ARL5B",0.498296382146989,0.00656888706061251,0.577471389453634
"ZNF608",0.657264993485575,0.00661624946650476,0.577471389453634
"RFX2",0.763129128087675,0.00662852964711433,0.577471389453634
"ADGRA2",-0.550646680680091,0.00666561532820873,0.577471389453634
"BEND2",0.610814048085504,0.00668109909616755,0.577471389453634
"NCR3",-0.440916171021689,0.00671852268762493,0.577471389453634
"POLR2L",-0.344083999770525,0.00674165849154596,0.577471389453634
"KCNJ2-AS1",0.751636179228431,0.00674192743280847,0.577471389453634
"EGR1",0.617140306073087,0.00699806177539132,0.577471389453634
"LONRF1",0.556658417017181,0.00704284353834371,0.577471389453634
"GNG11",0.474729864370615,0.00706232268498418,0.577471389453634
"ROR1",1.44247685064719,0.00708516029025594,0.577471389453634
"BANF1",-0.335575162192667,0.00718349406954482,0.577471389453634
"ZSCAN23",1.4417293015547,0.00729663464263121,0.577471389453634
"EFHC1",0.392568584417059,0.00733952749032495,0.577471389453634
"LIG4",0.412091676229893,0.00736615929513563,0.577471389453634
"ZNF292",0.370226943894955,0.00738820127132311,0.577471389453634
"ARID4B",0.487545767530609,0.00743873315400345,0.577471389453634
"PDZD11",-0.418624217101977,0.00744262095558048,0.577471389453634
"SNX13",0.388298732703339,0.00746119750615921,0.577471389453634
"SLK",0.486884034357727,0.00754787184759095,0.577471389453634
"PPIG",0.390493242433736,0.00755672501407311,0.577471389453634
"UAP1L1",-0.362079098789843,0.00756395855936346,0.577471389453634
"CHMP5",0.514453636752028,0.00757413104441907,0.577471389453634
"REL",0.395946826117536,0.00764378311201555,0.577471389453634
"KLF5",0.636646034911148,0.00766512604873537,0.577471389453634
"CIB2",-0.84563238501423,0.00771342111313105,0.577471389453634
"DMXL2",0.606497486910014,0.00773139277878952,0.577471389453634
"SCD",-0.541222952803333,0.00773633904963539,0.577471389453634
"FBP1",-0.373091452412609,0.00775204974000836,0.577471389453634
"AGTPBP1",0.506286513330856,0.0077630807073208,0.577471389453634
"VSTM1",-0.372382160677003,0.00797378388145975,0.577471389453634
"ADAMTSL4",0.506392620248151,0.00799931049602051,0.577471389453634
"CCDC186",0.440079149438025,0.00803735893605536,0.577471389453634
"LDHD",-0.652676446964108,0.00808958308289034,0.577471389453634
"ACACA",-0.35229629016925,0.00811821887414447,0.577471389453634
"PRKAR2B",0.38769873382024,0.008136186352943,0.577471389453634
"SLC29A1",-0.353551634025892,0.00813820318932894,0.577471389453634
"ECHS1",-0.312132664436915,0.00814713807365163,0.577471389453634
"MARCO",-0.350862042724519,0.00826833738047784,0.577471389453634
"KLRG1",-0.520087585643095,0.00828277280188769,0.577471389453634
"TTBK2",0.441080093801405,0.00836190943991825,0.577471389453634
"EXOC8",0.465001329377517,0.0083792242045313,0.577471389453634
"ZNF215",1.12692023463028,0.00841168374878932,0.577471389453634
"LINC01278",-0.349773460673512,0.0084420036078614,0.577471389453634
"PPBP",0.390245307890039,0.00845910678421524,0.577471389453634
"SECISBP2L",0.342048624497033,0.00850576680164887,0.577471389453634
"RAPGEF2",0.625990789642788,0.00877033707584037,0.577471389453634
"ZNF350",0.34691059095781,0.0087754486588941,0.577471389453634
"ITPR2",0.344137770446274,0.00889089850476244,0.577471389453634
"BRWD3",0.553696547246132,0.00889734997959219,0.577471389453634
"UQCRB",0.471829101437891,0.00899838609549672,0.577471389453634
"OLFM1",-0.417737135445269,0.00904865350440484,0.577471389453634
"VPREB3",-0.434287815981072,0.00907173546385101,0.577471389453634
"BOP1",-0.331788703291381,0.00907296948074942,0.577471389453634
"SYNGR3",-0.959937829624611,0.00908534121640002,0.577471389453634
"CD58",0.472194539207917,0.00910049341897302,0.577471389453634
"ITGB4",0.687067259549136,0.00935223581089772,0.577471389453634
"DCBLD2",0.686610667112309,0.00935478100097971,0.577471389453634
"PRR5L",-0.366275324019884,0.00938462438170579,0.577471389453634
"MGAM",0.905152098253279,0.00941366636430886,0.577471389453634
"LY96",0.749844891114209,0.00944542827395835,0.577471389453634
"BEST1",0.569857046031507,0.00945033044369406,0.577471389453634
"LAMA2",-0.970402072783993,0.00948529654816144,0.577471389453634
"NRXN1",1.32817952775775,0.00955646613444476,0.577471389453634
"TTC38",-0.361510613432166,0.00959860002995967,0.577471389453634
"AZU1",-0.751654542507062,0.00963088956509357,0.577471389453634
"TAB3",0.357033833260867,0.00963631146022145,0.577471389453634
"ARID4A",0.414736641178232,0.00972656258500616,0.577471389453634
"XCR1",1.18844883745077,0.00972994954078564,0.577471389453634
"FGFBP2",-0.489502124844602,0.00975537032822562,0.577471389453634
"IFIT1",0.585884666247782,0.0097594268113742,0.577471389453634
"WNK2",1.03679197597936,0.00977024119830646,0.577471389453634
"MOK",0.599975813494233,0.00982623438155818,0.577471389453634
"HBZ",1.03301339363673,0.00985573040614155,0.577471389453634
"CCL4",-0.437587090030351,0.009964812790108,0.577471389453634
"CDT1",-0.622991056989994,0.00996971787678308,0.577471389453634
"ADA",-0.355987218097034,0.00998368564864359,0.577471389453634
"PGAM5",-0.314906831798486,0.0100759328441778,0.577471389453634
"SERPINB2",-0.694087497072949,0.010085040354682,0.577471389453634
"PPP4R2",0.382867761479433,0.0101403603791672,0.577471389453634
"ALCAM",0.37221949273418,0.0101784402720185,0.577471389453634
"DDIT4",-0.519114108461562,0.0101984481993161,0.577471389453634
"RAB3A",-0.589832527961777,0.0102230152073499,0.577471389453634
"NSG1",-0.391471418866891,0.0102997084020853,0.577471389453634
"NCOA2",0.57202952190696,0.0103164819702691,0.577471389453634
"GNPDA1",-0.308208939223594,0.0103197071444647,0.577471389453634
"FCRL6",-0.492917614688215,0.01039426179606,0.577471389453634
"GADD45G",0.770838001770897,0.0104623014034981,0.577471389453634
"RC3H2",0.406181625203545,0.0104688250531964,0.577471389453634
"SULT1B1",0.69984669285738,0.0104786436060539,0.577471389453634
"WDR46",-0.319821813773737,0.010498835318785,0.577471389453634
"CHRM5",-1.05553565155824,0.0105437509786958,0.577471389453634
"DEFA1",-0.520674327512427,0.0106659062265722,0.577471389453634
"DEFA1B",-0.519374930788087,0.0108121267726316,0.577471389453634
"CALD1",0.715166623730055,0.0108286774494627,0.577471389453634
"USP6NL",0.373405426291209,0.0108649532594318,0.577471389453634
"CD1A",-0.586177664806954,0.0109926400156451,0.577471389453634
"HRK",0.865759425278864,0.0110713043179888,0.577471389453634
"SIGLEC8",-0.638063220380873,0.0111585720517295,0.577471389453634
"KMT2C",0.541281346339165,0.0112175313601287,0.577471389453634
"NABP1",0.58372685750584,0.0112358439204603,0.577471389453634
"FAS",0.581943793907607,0.0112952424559936,0.577471389453634
"TUBB4A",-0.515423232275721,0.0113326331943233,0.577471389453634
"ZFYVE16",0.574142302670554,0.0113434492091649,0.577471389453634
"FOXO3B",0.374161342465558,0.0113470875700224,0.577471389453634
"CNTNAP3B",1.10414916456157,0.0113586404694239,0.577471389453634
"STMN1",-0.455236383729011,0.0113590085605934,0.577471389453634
"LINC01127",0.772530304307782,0.0113864072824944,0.577471389453634
"SESTD1",0.342681573955486,0.0113917781124683,0.577471389453634
"OLMALINC",-0.879544404135444,0.0114269837923738,0.577471389453634
"DOCK5",0.719940885722703,0.0114502441823865,0.577471389453634
"PFDN4",1.19404549060606,0.0114596946385143,0.577471389453634
"EPHB3",-0.611242855570153,0.0114856853178035,0.577471389453634
"JMJD1C",0.654306856527913,0.011509826508249,0.577471389453634
"TMEM255A",-0.872864455845261,0.0115301914204703,0.577471389453634
"HCST",-0.349004256377409,0.0115672376789079,0.577471389453634
"HGH1",-0.304636830556726,0.011570818243485,0.577471389453634
"ITPRIPL1",-0.443703798460746,0.0116128543081324,0.577471389453634
"PMVK",-0.338816230297373,0.0116423197953916,0.577471389453634
"PEPD",-0.286836963352163,0.0116789508681813,0.577471389453634
"SNAPC2",-0.319698560544865,0.0117267746937284,0.577471389453634
"UACA",0.500869923394278,0.0117844755399247,0.577471389453634
"AFF1",0.566834376039326,0.0118284896904164,0.577471389453634
"BOD1L1",0.652615414036758,0.0118371745485823,0.577471389453634
"RAB11FIP5",-0.405801766649181,0.0118610880886939,0.577471389453634
"FNIP1",0.609256570987523,0.012077575798105,0.577471389453634
"INO80D",0.309031863280598,0.0120891198175783,0.577471389453634
"CDKL5",0.658884461244534,0.0121570302242554,0.577471389453634
"TTN",0.342141883133579,0.0121814117569677,0.577471389453634
"ETHE1",-0.329072105427372,0.0121880311360366,0.577471389453634
"FKBP4",-0.295576431745864,0.0122001689560489,0.577471389453634
"CCDC82",0.354138040165602,0.0122175102597283,0.577471389453634
"IFIT2",0.734257568953185,0.0122263972477567,0.577471389453634
"RB1CC1",0.48313444324784,0.0122777585341933,0.577471389453634
"LINC00921",0.355066373766784,0.0123304468987993,0.577471389453634
"BCL2A1",0.786456605602136,0.0123425965938025,0.577471389453634
"GALNT4",0.373720157670443,0.0123640677207566,0.577471389453634
"CLEC2B",0.442496941352237,0.0124560806031694,0.577471389453634
"IFRD1",0.592492398989653,0.0125435865155795,0.577471389453634
"ATP6V0E2",-0.351204581608538,0.012631605566086,0.577471389453634
"TAOK1",0.420888356802951,0.0126457571933732,0.577471389453634
"SIPA1L2",0.82412604994065,0.012718347011021,0.577471389453634
"LAGE3",-0.362237592709076,0.0127208724677691,0.577471389453634
"SVIL",0.514935642454454,0.0127679146215152,0.577471389453634
"AJAP1",-1.65837352080613,0.012792113276957,0.577471389453634
"RPGRIP1",0.363372819424181,0.0128029763737105,0.577471389453634
"PIK3C2A",0.295574840584531,0.0128080757342267,0.577471389453634
"FMNL3",-0.430846429063286,0.0128099519163082,0.577471389453634
"FAM157C",0.57655267715028,0.0128114805396348,0.577471389453634
"MRPS6",-0.293547077203676,0.0129397817644543,0.577471389453634
"CMKLR1",-0.381836934839471,0.0130083462861521,0.577471389453634
"ZNF518A",0.296033483561209,0.0130129178893379,0.577471389453634
"IL1RAP",0.885562021063647,0.0130182312646818,0.577471389453634
"TPRN",-0.383983317200047,0.0130299956740486,0.577471389453634
"RICTOR",0.559200158167878,0.0131059651802672,0.577471389453634
"SUB1",0.33411298301226,0.0131150458332,0.577471389453634
"POU2F1",0.320459619784232,0.0133043592377398,0.577471389453634
"LTN1",0.391817989036448,0.0133571487677709,0.577471389453634
"CSGALNACT2",0.45336733230111,0.013421690423456,0.577471389453634
"CLEC4D",0.979760637144932,0.0134979410460322,0.577471389453634
"GZMH",-0.503848696418805,0.0135051719461474,0.577471389453634
"BAIAP3",0.372258642284846,0.0135252549089276,0.577471389453634
"ZNF763",0.391453750363389,0.0136945121276742,0.577471389453634
"ATG2B",0.293644426788467,0.0137117171537389,0.577471389453634
"KIF27",0.663784657314862,0.0137196467855016,0.577471389453634
"ROCK2",0.323692651950022,0.0139296922796555,0.577471389453634
"SLC22A1",0.889629534690081,0.0139738991585635,0.577471389453634
"COL7A1",0.699191565299482,0.0140629671189173,0.577471389453634
"TAS2R40",0.618320526385906,0.0141313384707455,0.577471389453634
"RPS6KA5",0.469682550350537,0.014152576605488,0.577471389453634
"MTURN",0.343179352144617,0.0141762172341938,0.577471389453634
"BTBD6",-0.294296769890065,0.0141791810919773,0.577471389453634
"OGFRL1",0.640983710433984,0.0141803798391957,0.577471389453634
"MRPS11",-0.314085934450432,0.0141934283805928,0.577471389453634
"ERGIC2",0.375912007838268,0.0142198640545702,0.577471389453634
"RAD51-AS1",0.441724215059168,0.0142380007210218,0.577471389453634
"LCOR",0.31710115546514,0.0142471622251387,0.577471389453634
"REM2",0.476816510843981,0.0142663520639115,0.577471389453634
"POC1B-GALNT4",0.356567725191413,0.0142690089854593,0.577471389453634
"ALG1L2",-0.992616684957565,0.0143446265903328,0.577471389453634
"PPP1R13B",-0.316941935112037,0.0143798982006349,0.577471389453634
"IPO4",-0.335307306400995,0.0144103702711202,0.577471389453634
"PRSS33",-0.570440349804092,0.0144912832261991,0.577471389453634
"HEATR5A",0.375888594147639,0.0145272876000848,0.577471389453634
"ZDHHC17",0.385501041655573,0.014564805551814,0.577471389453634
